id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,1,2.2C FRANKED@30%; DR P NIL DISCOUNT,2018-04-27,0.022,2018-04-12,2018-04-13,FGX,Final
,0,DRP NIL DISCOUNT,2017-07-21,0.111808,2017-06-29,2017-06-30,FOR,Final
,1,3.75C FRANKED @ 30%;  DRP NIL DISCOUNT,2017-09-13,0.0375,2017-08-17,2017-08-18,FSI,Final
,1,3.75C FRANKED @ 30%;  DRP NIL DISCOUNT,2018-03-13,0.0375,2018-02-26,2018-02-27,FSI,Interim
,1,3C FRANKED @ 30%; DR P,2017-10-06,0.03,2017-09-20,2017-09-21,GC1,Final
,1,1C FRANKED @ 30%; DR P,2018-03-23,0.01,2018-03-07,2018-03-08,GC1,Interim
,0,,2017-08-31,0.03875,2017-06-29,2017-06-30,GDI,Final
,0,,2018-02-28,0.03875,2017-12-28,2017-12-29,GDI,Interim
,0,US 17.6C PER CDI; 15 % W/H TAX,2018-01-18,0.190355,2017-12-19,2017-12-20,GDX,Final
,0,DRP SUSPENDED,2017-08-28,0.132,2017-06-29,2017-06-30,GMG,Final
,0,EST 13.75C,2018-02-26,0.1375,2017-12-28,2017-12-29,GMG,Interim
,0,4.239C TAX DEF; DRP  SUSPENDED,2017-08-31,0.109,2017-06-29,2017-06-30,GOZ,Final
,0,DRP,2018-02-28,0.11,2017-12-28,2017-12-29,GOZ,Interim
,0,DRP SUSPENDED,2017-08-31,0.123,2017-06-29,2017-06-30,GPT,Interim
,0,DRP SUSPENDED,2018-02-28,0.123,2017-12-28,2017-12-29,GPT,Final
,0.5,1.575C FRANKED@30%;  NIL CFI; DRP,2017-11-03,0.0315,2017-10-06,2017-10-09,GVF,Final
,0.5,1.575C FRANKED@30%;  NIL CFI; DRP,2018-05-10,0.0315,2018-04-09,2018-04-10,GVF,Interim
,0,5.665C TAX DEFERRED,2017-09-06,0.099,2017-06-29,2017-06-30,HPI,Final
,0,2.74948C TAX DEFERRE D,2018-03-05,0.098,2017-12-28,2017-12-29,HPI,Interim
,0,US19.0748C PER CDI;  15% W/TAX,2017-07-18,0.2115,2017-06-21,2017-06-22,IAA,Interim
,0,US76.8932C PER CDI;  15% W/TAX,2018-01-23,0.815461,2017-12-22,2017-12-27,IAA,Final
,0,EST 11.2317C FOREIGN  SOURCE; DRP,2017-07-13,0.664884,2017-07-03,2017-07-04,IAF,Final
,0,EST 7.1499C FOREIGN  SOURCE; DRP,2017-10-17,0.627555,2017-10-05,2017-10-06,IAF,Interim
,0,EST 3.2797C FOREIGN  SOURCE; DRP,2018-01-16,0.596925,2018-01-04,2018-01-05,IAF,Interim
,1,0.75C FRANKED@27.5%; DRP SUSPENDED,2017-09-20,0.0075,2017-08-30,2017-08-31,IBC,Interim
,1,1.1C FRANKED@27.5%;D RP SUSPENDED,2018-03-05,0.011,2018-02-15,2018-02-16,IBC,Interim
,0,US15.5914C PER CDI;  15% W/TAX,2017-07-18,0.172876,2017-06-21,2017-06-22,IBK,Final
,0,US51.7714C PER CDI;  15% W/TAX,2018-01-19,0.553949,2017-12-20,2017-12-21,IBK,Interim
,0,DRP SUSPENDED,2017-08-31,0.08,2017-06-29,2017-06-30,IDR,Final
,0,DRP SUSPENDED,2017-11-10,0.041,2017-09-28,2017-09-29,IDR,Interim
,0,DRP SUSPENDED,2018-02-09,0.041,2017-12-28,2017-12-29,IDR,Interim
,0,,2018-05-11,0.041,2018-03-28,2018-03-29,IDR,Interim
,0,US19.1711C PER CDI;  15% W/TAX,2017-07-18,0.212568,2017-06-21,2017-06-22,IEM,Final
,0,US69.6547C PER CDI;  15% W/TAX,2018-01-19,0.745299,2017-12-20,2017-12-21,IEM,Interim
,0,US82.4299C PER CDI;  15% W/TAX,2017-07-18,0.913976,2017-06-21,2017-06-22,IEU,Interim
,0,US30.677C PER CDI; 1 5% W/TAX,2018-01-23,0.325333,2017-12-22,2017-12-27,IEU,Final
,0,DRP,2017-07-13,1.043931,2017-07-03,2017-07-04,IGB,Final
,0,DRP,2017-10-17,0.596724,2017-10-05,2017-10-06,IGB,Interim
,0,DRP,2018-01-16,0.50634,2018-01-04,2018-01-05,IGB,Interim
,0.3,EST 3.4742C FR@30%;1 .0107C CFI;DRP,2017-07-13,0.11755,2017-07-03,2017-07-04,IHD,Final
,0.89,EST 20.6372C FR@30%; 0.5204C CFI;DRP,2017-10-17,0.233173,2017-10-05,2017-10-06,IHD,Interim
,0.8,EST 13.9212C FR@30%; 0.1848C CFI;DRP,2018-01-16,0.17378,2018-01-04,2018-01-05,IHD,Interim
,0,US39.9921C PER CDI;  15% W/TAX,2017-07-18,0.443429,2017-06-21,2017-06-22,IHK,Final
,0,US70.6795C PER CDI;  15% W/TAX,2018-01-19,0.756264,2017-12-20,2017-12-21,IHK,Interim
,0,USD 60.1791C PER CDI ; 15%W/TAX,2017-07-25,0.643991,2017-06-28,2017-06-29,IJH,Interim
,0,US 63.4144C PER CDI;  15%W/TAX,2017-10-24,0.68456,2017-09-27,2017-09-28,IJH,Interim
